Category,City,Country,Customer Name,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Days to Ship Actual,Days to Ship Scheduled,Discount,Number of Records,Profit,Profit Ratio,Quantity,Sales,Sales Forecast,Sales per Customer
Technology,Columbus,United States,Erin Creighton,13/12/2013,US-2013-169369,31907,Case Logic 2.4GHz Wireless Keyboard,South,Consumer,19/12/2013,Standard Class,Georgia,Accessories,6,6,0,1,20,0.08,5,250,328,249.95
Technology,Jackson,United States,Matthew Grinstein,13/12/2013,CA-2013-139395,49201,Jabra SPEAK 410,Central,Home Office,19/12/2013,Standard Class,Michigan,Phones,6,6,0,1,184,0.28,7,658,862,657.93
Technology,Norman,United States,Ken Heidel,14/12/2013,CA-2013-100153,73071,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,Central,Corporate,18/12/2013,Standard Class,Oklahoma,Accessories,4,6,0,1,25,0.39,4,64,84,63.88
Office Supplies,Riverside,United States,Jasper Cacioppo,14/12/2013,CA-2013-102792,92503,Crayola Colored Pencils,West,Consumer,20/12/2013,Standard Class,California,Art,6,6,0,1,3,0.33,3,10,13,9.84
Furniture,Torrance,United States,Rob Williams,14/12/2013,CA-2013-142958,90503,Bretford CR4500 Series Slim Rectangular Table,West,Corporate,21/12/2013,Standard Class,California,Tables,7,6,0.2,1,42,0.038,4,1114,1460,1114.27
Office Supplies,Torrance,United States,Rob Williams,14/12/2013,CA-2013-142958,90503,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",West,Corporate,21/12/2013,Standard Class,California,Binders,7,6,0.2,1,2,0.363,2,6,8,6.1
Furniture,San Diego,United States,David Smith,15/12/2013,CA-2013-146325,92037,"Global Task Chair, Black",West,Corporate,18/12/2013,First Class,California,Chairs,3,1,0.2,1,-9,-0.113,2,81,107,81.42
Office Supplies,San Diego,United States,David Smith,15/12/2013,CA-2013-146325,92037,"Tenex Personal Project File with Scoop Front Design, Black",West,Corporate,18/12/2013,First Class,California,Storage,3,1,0,1,35,0.26,10,135,177,134.8
Furniture,New York City,United States,Pete Kriz,15/12/2013,CA-2013-129126,10011,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",East,Consumer,20/12/2013,Standard Class,New York,Furnishings,5,6,0,1,198,0.5,4,397,520,396.92
Furniture,Jackson,United States,Michael Chen,15/12/2013,CA-2013-146143,39212,"Executive Impressions 14""",South,Consumer,20/12/2013,Standard Class,Mississippi,Furnishings,5,6,0,1,59,0.44,6,133,175,133.38
Office Supplies,New York City,United States,Pete Kriz,15/12/2013,CA-2013-129126,10011,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",East,Consumer,20/12/2013,Standard Class,New York,Binders,5,6,0.2,1,8,0.338,2,23,30,23.12
Office Supplies,New York City,United States,Pete Kriz,15/12/2013,CA-2013-129126,10011,"OIC Colored Binder Clips, Assorted Sizes",East,Consumer,20/12/2013,Standard Class,New York,Fasteners,5,6,0,1,11,0.49,6,21,28,21.48
Office Supplies,New York City,United States,Pete Kriz,15/12/2013,CA-2013-129126,10011,Avery 474,East,Consumer,20/12/2013,Standard Class,New York,Labels,5,6,0,1,3,0.49,2,6,8,5.76
Office Supplies,New York City,United States,Pete Kriz,15/12/2013,CA-2013-129126,10011,Strathmore Photo Frame Cards,East,Consumer,20/12/2013,Standard Class,New York,Paper,5,6,0,1,7,0.46,2,15,19,14.62
Office Supplies,New York City,United States,Pete Kriz,15/12/2013,CA-2013-129126,10011,Advantus Rolling Storage Box,East,Consumer,20/12/2013,Standard Class,New York,Storage,5,6,0,1,5,0.27,1,17,22,17.15
Office Supplies,Cuyahoga Falls,United States,Shahid Hopkins,16/12/2013,CA-2013-113600,44221,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",East,Consumer,18/12/2013,Second Class,Ohio,Binders,2,3,0.7,1,-1,-0.667,3,2,3,2.21
Furniture,Detroit,United States,Michael Paige,16/12/2013,CA-2013-142335,48205,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Central,Corporate,20/12/2013,Standard Class,Michigan,Tables,4,6,0,1,231,0.14,3,1653,2166,1652.94
Office Supplies,Detroit,United States,Michael Paige,16/12/2013,CA-2013-142335,48205,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",Central,Corporate,20/12/2013,Standard Class,Michigan,Storage,4,6,0,1,80,0.27,3,296,388,296.37
Office Supplies,Fayetteville,United States,Tony Chapman,16/12/2013,CA-2013-100307,72701,Xerox 1958,South,Home Office,20/12/2013,Standard Class,Arkansas,Paper,4,6,0,1,9,0.48,3,19,25,19.44
Furniture,Springfield,United States,Mike Pelletier,16/12/2013,US-2013-127334,97477,Bretford Rectangular Conference Table Tops,West,Home Office,22/12/2013,Standard Class,Oregon,Tables,6,6,0.5,1,-305,-0.54,3,564,739,564.2
Office Supplies,Springfield,United States,Mike Pelletier,16/12/2013,US-2013-127334,97477,Belkin 5 Outlet SurgeMaster Power Centers,West,Home Office,22/12/2013,Standard Class,Oregon,Appliances,6,6,0.2,1,9,0.1,2,87,114,87.17
Furniture,Los Angeles,United States,Benjamin Patterson,16/12/2013,US-2013-116442,90004,"Eldon Expressions Wood Desk Accessories, Oak",West,Consumer,23/12/2013,Standard Class,California,Furnishings,7,6,0,1,4,0.29,2,15,19,14.76
Office Supplies,Goldsboro,United States,Sandra Flanagan,17/12/2013,CA-2013-130442,27534,Acco 6 Outlet Guardian Premium Surge Suppressor,South,Consumer,20/12/2013,First Class,North Carolina,Appliances,3,1,0.2,1,3,0.088,3,35,46,34.94
Office Supplies,New York City,United States,Keith Dawkins,17/12/2013,US-2013-104794,10009,Stockwell Gold Paper Clips,East,Corporate,20/12/2013,First Class,New York,Fasteners,3,1,0,1,2,0.49,2,4,5,3.68
Office Supplies,Chicago,United States,Craig Carreira,17/12/2013,US-2013-100419,60610,Cardinal Hold-It CD Pocket,Central,Consumer,21/12/2013,Second Class,Illinois,Binders,4,3,0.8,1,-8,-1.65,3,5,6,4.79
Furniture,Apple Valley,United States,Pete Kriz,17/12/2013,CA-2013-118332,92307,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,West,Consumer,24/12/2013,Standard Class,California,Chairs,7,6,0.2,1,7,0.012,5,564,739,563.92
Technology,San Diego,United States,Tanja Norvell,17/12/2013,CA-2013-155446,92024,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,West,Home Office,24/12/2013,Standard Class,California,Accessories,7,6,0,1,4,0.21,7,21,28,21.21
Furniture,San Francisco,United States,Charles McCrossin,18/12/2013,CA-2013-155530,94122,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,West,Consumer,22/12/2013,Standard Class,California,Tables,4,6,0.2,1,-326,-0.163,6,2004,2625,2003.52
Office Supplies,Detroit,United States,Adrian Barton,18/12/2013,CA-2013-117121,48205,GBC Ibimaster 500 Manual ProClick Binding System,Central,Consumer,22/12/2013,Standard Class,Michigan,Binders,4,6,0,1,4946,0.5,13,9893,12963,9892.74
Office Supplies,Arlington,United States,Adam Hart,18/12/2013,CA-2013-147109,76017,Xerox 214,Central,Corporate,22/12/2013,Standard Class,Texas,Paper,4,6,0.2,1,18,0.35,10,52,68,51.84
Technology,Arlington,United States,Adam Hart,18/12/2013,CA-2013-147109,76017,WD My Passport Ultra 1TB Portable External Hard Drive,Central,Corporate,22/12/2013,Standard Class,Texas,Accessories,4,6,0.2,1,-6,-0.038,3,166,217,165.6
Office Supplies,Seattle,United States,Steve Carroll,18/12/2013,CA-2013-155383,98115,"Personal Filing Tote with Lid, Black/Gray",West,Home Office,23/12/2013,Standard Class,Washington,Storage,5,6,0,1,13,0.28,3,47,61,46.53
Office Supplies,Carlsbad,United States,Noel Staavos,18/12/2013,CA-2013-131639,88220,"GBC Laser Imprintable Binding System Covers, Desert Sand",West,Corporate,24/12/2013,Standard Class,New Mexico,Binders,6,6,0.2,1,4,0.338,1,11,15,11.42
Office Supplies,Carlsbad,United States,Noel Staavos,18/12/2013,CA-2013-131639,88220,Ibico Plastic and Wire Spiral Binding Combs,West,Corporate,24/12/2013,Standard Class,New Mexico,Binders,6,6,0.2,1,4,0.325,2,13,18,13.49
Office Supplies,Tamarac,United States,Alan Haines,19/12/2013,CA-2013-112697,33319,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",South,Corporate,21/12/2013,Second Class,Florida,Appliances,2,3,0.2,1,24,0.125,2,195,255,194.53
Office Supplies,Tamarac,United States,Alan Haines,19/12/2013,CA-2013-112697,33319,GBC VeloBinder Electric Binding Machine,South,Corporate,21/12/2013,Second Class,Florida,Binders,2,3,0.7,1,-169,-0.667,7,254,333,254.06
Office Supplies,Tamarac,United States,Alan Haines,19/12/2013,CA-2013-112697,33319,Premier Automatic Letter Opener,South,Corporate,21/12/2013,Second Class,Florida,Supplies,2,3,0.2,1,-204,-0.213,5,961,1260,961.48
Office Supplies,New York City,United States,Julie Kriz,19/12/2013,CA-2013-150945,10009,Tennsco Double-Tier Lockers,East,Home Office,21/12/2013,Second Class,New York,Storage,2,3,0,1,117,0.13,4,900,1179,900.08
Technology,San Francisco,United States,Andy Yotov,19/12/2013,CA-2013-139934,94110,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,West,Corporate,21/12/2013,First Class,California,Phones,2,1,0.2,1,7,0.1,7,67,88,66.98
Furniture,Omaha,United States,Parhena Norris,19/12/2013,CA-2013-138597,68104,Hon Every-Day Series Multi-Task Chairs,Central,Home Office,22/12/2013,First Class,Nebraska,Chairs,3,1,0,1,113,0.2,3,564,739,563.94
Furniture,Salem,United States,Adrian Hane,19/12/2013,CA-2013-145261,97301,"Iceberg OfficeWorks 42"" Round Tables",West,Home Office,22/12/2013,First Class,Oregon,Tables,3,1,0.5,1,-264,-0.7,5,377,495,377.45
Office Supplies,Salem,United States,Adrian Hane,19/12/2013,CA-2013-145261,97301,Newell 312,West,Home Office,22/12/2013,First Class,Oregon,Art,3,1,0.2,1,2,0.125,4,19,24,18.69
Office Supplies,Salem,United States,Adrian Hane,19/12/2013,CA-2013-145261,97301,Vinyl Sectional Post Binders,West,Home Office,22/12/2013,First Class,Oregon,Binders,3,1,0.7,1,-30,-0.667,4,45,59,45.24
Office Supplies,Salem,United States,Adrian Hane,19/12/2013,CA-2013-145261,97301,Avery White Multi-Purpose Labels,West,Home Office,22/12/2013,First Class,Oregon,Labels,3,1,0.2,1,5,0.325,4,16,21,15.94
Office Supplies,Salem,United States,Adrian Hane,19/12/2013,CA-2013-145261,97301,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",West,Home Office,22/12/2013,First Class,Oregon,Paper,3,1,0.2,1,4,0.325,2,12,15,11.65
Technology,Salem,United States,Adrian Hane,19/12/2013,CA-2013-145261,97301,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,West,Home Office,22/12/2013,First Class,Oregon,Accessories,3,1,0.2,1,-8,-0.075,3,113,148,112.78
Technology,Salem,United States,Adrian Hane,19/12/2013,CA-2013-145261,97301,Macally Suction Cup Mount,West,Home Office,22/12/2013,First Class,Oregon,Phones,3,1,0.2,1,-7,-0.25,3,29,38,28.68
Furniture,Minneapolis,United States,Justin Deggeller,19/12/2013,CA-2013-147067,55407,Eldon 200 Class Desk Accessories,Central,Corporate,23/12/2013,Standard Class,Minnesota,Furnishings,4,6,0,1,6,0.32,3,19,25,18.84
Furniture,Los Angeles,United States,Henry Goldwyn,19/12/2013,CA-2013-145919,90032,"Seth Thomas 12"" Clock w/ Goldtone Case",West,Corporate,24/12/2013,Standard Class,California,Furnishings,5,6,0,1,63,0.34,8,184,241,183.84
Office Supplies,Los Angeles,United States,Henry Goldwyn,19/12/2013,CA-2013-145919,90032,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",West,Corporate,24/12/2013,Standard Class,California,Paper,5,6,0,1,19,0.48,6,39,51,38.88
Office Supplies,Los Angeles,United States,Henry Goldwyn,19/12/2013,CA-2013-145919,90032,Premier Electric Letter Opener,West,Corporate,24/12/2013,Standard Class,California,Supplies,5,6,0,1,29,0.05,5,579,759,579.3
Furniture,San Diego,United States,Jeremy Ellison,19/12/2013,CA-2013-133795,92037,"Eldon Expressions Wood and Plastic Desk Accessories, Oak",West,Consumer,25/12/2013,Standard Class,California,Furnishings,6,6,0,1,11,0.28,4,40,52,39.92
Office Supplies,Morristown,United States,Grace Kelly,19/12/2013,CA-2013-101546,7960,GBC DocuBind TL300 Electric Binding System,East,Corporate,25/12/2013,Standard Class,New Jersey,Binders,6,6,0,1,843,0.47,2,1794,2351,1793.98
Technology,San Diego,United States,Jeremy Ellison,19/12/2013,CA-2013-133795,92037,Logitech P710e Mobile Speakerphone,West,Consumer,25/12/2013,Standard Class,California,Accessories,6,6,0,1,147,0.19,3,772,1012,772.47
Technology,San Diego,United States,Jeremy Ellison,19/12/2013,CA-2013-133795,92037,SanDisk Cruzer 64 GB USB Flash Drive,West,Consumer,25/12/2013,Standard Class,California,Accessories,6,6,0,1,22,0.3,2,73,95,72.64
Furniture,Reading,United States,Clay Ludtke,20/12/2013,CA-2013-118129,19601,"Eldon ""L"" Workstation Diamond Chairmat",East,Consumer,22/12/2013,Second Class,Pennsylvania,Furnishings,2,3,0.2,1,-30,-0.1,5,304,398,303.92
Office Supplies,Chicago,United States,Barry Pond,20/12/2013,CA-2013-108364,60623,Wilson Jones Easy Flow II Sheet Lifters,Central,Corporate,25/12/2013,Standard Class,Illinois,Binders,5,6,0.8,1,-3,-1.6,5,2,2,1.8
Office Supplies,New York City,United States,Mark Haberlin,20/12/2013,CA-2013-141523,10035,Newell 326,East,Corporate,25/12/2013,Second Class,New York,Art,5,3,0,1,1,0.29,2,4,5,3.52
Office Supplies,New York City,United States,Mark Haberlin,20/12/2013,CA-2013-141523,10035,"GBC Laser Imprintable Binding System Covers, Desert Sand",East,Corporate,25/12/2013,Second Class,New York,Binders,5,3,0.2,1,12,0.338,3,34,45,34.25
Furniture,Tucson,United States,Erin Smith,20/12/2013,CA-2013-134936,85705,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",West,Corporate,26/12/2013,Standard Class,Arizona,Tables,6,6,0.5,1,-219,-0.48,6,456,598,455.97
Office Supplies,Tucson,United States,Erin Smith,20/12/2013,CA-2013-134936,85705,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",West,Corporate,26/12/2013,Standard Class,Arizona,Binders,6,6,0.7,1,-4,-0.8,2,5,7,5.21
Office Supplies,Tucson,United States,Erin Smith,20/12/2013,CA-2013-134936,85705,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",West,Corporate,26/12/2013,Standard Class,Arizona,Binders,6,6,0.7,1,-8,-0.733,6,10,14,10.44
Office Supplies,Fremont,United States,Matt Collins,21/12/2013,US-2013-157840,68025,Strathmore Photo Mount Cards,Central,Consumer,24/12/2013,Second Class,Nebraska,Paper,3,3,0,1,16,0.46,5,34,44,33.9
Furniture,Jackson,United States,Alejandro Ballentine,21/12/2013,CA-2013-151155,39212,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,South,Home Office,25/12/2013,Standard Class,Mississippi,Furnishings,4,6,0,1,7,0.39,4,19,25,18.92
Office Supplies,Jackson,United States,Alejandro Ballentine,21/12/2013,CA-2013-151155,39212,DXL Angle-View Binders with Locking Rings by Samsill,South,Home Office,25/12/2013,Standard Class,Mississippi,Binders,4,6,0,1,7,0.45,2,15,20,15.42
Technology,Jackson,United States,Stuart Calhoun,21/12/2013,CA-2013-168536,39212,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,South,Consumer,25/12/2013,Standard Class,Mississippi,Accessories,4,6,0,1,9,0.13,3,66,87,66.3
Office Supplies,Seattle,United States,Emily Ducich,23/12/2013,CA-2013-149916,98115,Wilson Jones International Size A4 Ring Binders,West,Home Office,25/12/2013,Second Class,Washington,Binders,2,3,0.2,1,19,0.35,4,55,73,55.36
Technology,Seattle,United States,Emily Ducich,23/12/2013,CA-2013-149916,98115,Texas Instrument TI-15 Fraction Calculator,West,Home Office,25/12/2013,Second Class,Washington,Machines,2,3,0.2,1,4,0.325,1,12,15,11.56
Office Supplies,New York City,United States,Lena Creighton,23/12/2013,CA-2013-103359,10035,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",East,Consumer,27/12/2013,Standard Class,New York,Binders,4,6,0.2,1,9,0.35,2,26,34,25.58
Furniture,Moreno Valley,United States,Duane Noonan,23/12/2013,CA-2013-114860,92553,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,West,Consumer,29/12/2013,Standard Class,California,Furnishings,6,6,0,1,202,0.24,8,843,1104,842.72
Furniture,Moreno Valley,United States,Duane Noonan,23/12/2013,CA-2013-114860,92553,Magnifier Swing Arm Lamp,West,Consumer,29/12/2013,Standard Class,California,Furnishings,6,6,0,1,11,0.26,2,42,55,41.96
Furniture,Redmond,United States,Sue Ann Reed,23/12/2013,CA-2013-167507,97756,3M Hangers With Command Adhesive,West,Consumer,29/12/2013,Standard Class,Oregon,Furnishings,6,6,0.2,1,3,0.263,4,12,16,11.84
Furniture,Redmond,United States,Sue Ann Reed,23/12/2013,CA-2013-167507,97756,"Seth Thomas 14"" Day/Date Wall Clock",West,Consumer,29/12/2013,Standard Class,Oregon,Furnishings,6,6,0.2,1,5,0.213,1,23,30,22.78
Office Supplies,Redmond,United States,Sue Ann Reed,23/12/2013,CA-2013-167507,97756,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",West,Consumer,29/12/2013,Standard Class,Oregon,Binders,6,6,0.7,1,-25,-0.8,10,31,41,31.32
Furniture,Chicago,United States,Ben Peterman,24/12/2013,CA-2013-115574,60623,"Bush Westfield Collection Bookcases, Fully Assembled",Central,Corporate,25/12/2013,First Class,Illinois,Bookcases,1,1,0.3,1,-14,-0.1,2,141,185,141.37
Furniture,Springfield,United States,Logan Currie,24/12/2013,CA-2013-137043,22153,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",South,Consumer,26/12/2013,Second Class,Virginia,Furnishings,2,3,0,1,83,0.29,3,286,375,286.38
Furniture,Springfield,United States,Logan Currie,24/12/2013,CA-2013-137043,22153,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",South,Consumer,26/12/2013,Second Class,Virginia,Furnishings,2,3,0,1,166,0.29,6,573,751,572.76
Furniture,Houston,United States,Laura Armstrong,24/12/2013,CA-2013-132829,77041,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Central,Corporate,27/12/2013,Second Class,Texas,Furnishings,3,3,0.6,1,-1,-0.325,2,2,3,2.33
Office Supplies,Houston,United States,Laura Armstrong,24/12/2013,CA-2013-132829,77041,"Permanent Self-Adhesive File Folder Labels for Typewriters, 1 1/8 x 3 1/2, White",Central,Corporate,27/12/2013,Second Class,Texas,Labels,3,3,0.2,1,15,0.325,9,45,59,45.36
Technology,Houston,United States,Laura Armstrong,24/12/2013,CA-2013-132829,77041,Cisco SPA 502G IP Phone,Central,Corporate,27/12/2013,Second Class,Texas,Phones,3,3,0.2,1,36,0.125,3,288,377,287.88
Technology,Houston,United States,Laura Armstrong,24/12/2013,CA-2013-132829,77041,Cisco SPA112 2 Port Phone Adapter,Central,Corporate,27/12/2013,Second Class,Texas,Phones,3,3,0.2,1,15,0.113,3,132,173,131.88
Technology,Houston,United States,Laura Armstrong,24/12/2013,CA-2013-132829,77041,Wireless Extenders zBoost YX545 SOHO Signal Booster,Central,Corporate,27/12/2013,Second Class,Texas,Phones,3,3,0.2,1,40,0.088,3,454,594,453.58
Office Supplies,Bowling Green,United States,Neoma Murray,24/12/2013,CA-2013-136049,43402,"Universal Recycled Hanging Pressboard Report Binders, Letter Size",East,Consumer,29/12/2013,Standard Class,Ohio,Binders,5,6,0.7,1,-4,-0.733,3,6,7,5.55
Office Supplies,Philadelphia,United States,Frank Merwin,24/12/2013,CA-2013-114867,19143,Xerox 1952,East,Home Office,29/12/2013,Standard Class,Pennsylvania,Paper,5,6,0.2,1,3,0.338,2,8,10,7.97
Technology,Warwick,United States,Carol Adams,24/12/2013,CA-2013-157791,2886,Hewlett Packard 610 Color Digital Copier / Printer,East,Corporate,29/12/2013,Second Class,Rhode Island,Copiers,5,3,0,1,900,0.45,4,2000,2621,1999.96
Technology,Philadelphia,United States,Frank Merwin,24/12/2013,CA-2013-114867,19143,LG G2,East,Home Office,29/12/2013,Standard Class,Pennsylvania,Phones,5,6,0.4,1,-375,-0.25,5,1500,1966,1499.97
Office Supplies,Grand Rapids,United States,Matt Collister,24/12/2013,CA-2013-157868,49505,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",Central,Corporate,30/12/2013,Standard Class,Michigan,Fasteners,6,6,0,1,12,0.47,7,25,33,24.85
Office Supplies,Seattle,United States,Edward Hooks,24/12/2013,CA-2013-135776,98103,Newell 317,West,Corporate,31/12/2013,Standard Class,Washington,Art,7,6,0,1,3,0.29,3,9,12,8.82
Office Supplies,Seattle,United States,Edward Hooks,24/12/2013,CA-2013-135776,98103,"Sanford EarthWrite Recycled Pencils, Medium Soft, #2",West,Corporate,31/12/2013,Standard Class,Washington,Art,7,6,0,1,1,0.28,2,4,6,4.2
Office Supplies,Seattle,United States,Edward Hooks,24/12/2013,CA-2013-135776,98103,Staples,West,Corporate,31/12/2013,Standard Class,Washington,Envelopes,7,6,0,1,30,0.49,2,62,81,61.96
Office Supplies,Seattle,United States,Edward Hooks,24/12/2013,CA-2013-135776,98103,Computer Printout Paper with Letter-Trim Perforations,West,Corporate,31/12/2013,Standard Class,Washington,Paper,7,6,0,1,18,0.48,2,38,50,37.94
Office Supplies,Seattle,United States,Edward Hooks,24/12/2013,CA-2013-135776,98103,Xerox 1911,West,Corporate,31/12/2013,Standard Class,Washington,Paper,7,6,0,1,23,0.48,1,48,63,47.9
Office Supplies,Seattle,United States,Edward Hooks,24/12/2013,CA-2013-135776,98103,SAFCO Boltless Steel Shelving,West,Corporate,31/12/2013,Standard Class,Washington,Storage,7,6,0,1,2,0.01,2,227,298,227.28
Office Supplies,Seattle,United States,Edward Hooks,24/12/2013,CA-2013-135776,98103,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",West,Corporate,31/12/2013,Standard Class,Washington,Storage,7,6,0,1,56,0.05,4,1118,1465,1117.92
Office Supplies,Seattle,United States,Benjamin Venier,25/12/2013,CA-2013-123526,98103,Xerox 1898,West,Corporate,26/12/2013,First Class,Washington,Paper,1,1,0,1,16,0.48,5,33,44,33.4
Technology,New York City,United States,Pauline Webber,25/12/2013,CA-2013-140438,10009,Samsung Rugby III,East,Corporate,28/12/2013,Second Class,New York,Phones,3,3,0,1,53,0.27,3,198,259,197.97
Furniture,New York City,United States,Jessica Myrick,25/12/2013,CA-2013-157259,10035,Luxo Adjustable Task Clamp Lamp,East,Consumer,29/12/2013,Standard Class,New York,Furnishings,4,6,0,1,208,0.26,9,800,1048,799.56
Office Supplies,Charlotte,United States,Ross Baird,25/12/2013,US-2013-168620,28205,GBC Linen Binding Covers,South,Home Office,29/12/2013,Second Class,North Carolina,Binders,4,3,0.7,1,-20,-0.733,3,28,37,27.88
Office Supplies,Charlotte,United States,Ross Baird,25/12/2013,US-2013-168620,28205,Tennsco Double-Tier Lockers,South,Home Office,29/12/2013,Second Class,North Carolina,Storage,4,3,0.2,1,-47,-0.088,3,540,708,540.05
Technology,Charlotte,United States,Ross Baird,25/12/2013,US-2013-168620,28205,Microsoft Sculpt Comfort Mouse,South,Home Office,29/12/2013,Second Class,North Carolina,Accessories,4,3,0.2,1,77,0.3,8,256,335,255.68
Furniture,San Jose,United States,Sean Christensen,25/12/2013,CA-2013-101651,95123,"Eldon 200 Class Desk Accessories, Smoke",West,Consumer,31/12/2013,Standard Class,California,Furnishings,6,6,0,1,18,0.42,7,44,58,43.96
Office Supplies,San Jose,United States,Sean Christensen,25/12/2013,CA-2013-101651,95123,Staples,West,Consumer,31/12/2013,Standard Class,California,Envelopes,6,6,0,1,19,0.47,7,40,52,39.76
Office Supplies,New York City,United States,Brian DeCherney,26/12/2013,CA-2013-111941,10035,GBC Premium Transparent Covers with Diagonal Lined Pattern,East,Consumer,29/12/2013,Second Class,New York,Binders,3,3,0.2,1,12,0.35,2,34,44,33.57
Office Supplies,Los Angeles,United States,Grace Kelly,26/12/2013,US-2013-116729,90049,Xerox 225,West,Corporate,29/12/2013,First Class,California,Paper,3,1,0,1,22,0.48,7,45,59,45.36
Technology,Los Angeles,United States,Grace Kelly,26/12/2013,US-2013-116729,90049,SanDisk Cruzer 64 GB USB Flash Drive,West,Corporate,29/12/2013,First Class,California,Accessories,3,1,0,1,76,0.3,7,254,333,254.24
Technology,Los Angeles,United States,Grace Kelly,26/12/2013,US-2013-116729,90049,Samsung Galaxy Note 2,West,Corporate,29/12/2013,First Class,California,Phones,3,1,0.2,1,258,0.1,7,2576,3376,2575.94
Furniture,Fayetteville,United States,Trudy Schmidt,26/12/2013,CA-2013-148684,72701,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",South,Consumer,30/12/2013,Standard Class,Arkansas,Furnishings,4,6,0,1,138,0.4,5,344,451,343.85
Office Supplies,Fayetteville,United States,Trudy Schmidt,26/12/2013,CA-2013-148684,72701,Newell 327,South,Consumer,30/12/2013,Standard Class,Arkansas,Art,4,6,0,1,5,0.27,9,20,26,19.89
Office Supplies,Fayetteville,United States,Trudy Schmidt,26/12/2013,CA-2013-148684,72701,Xerox 1906,South,Consumer,30/12/2013,Standard Class,Arkansas,Paper,4,6,0,1,50,0.47,3,106,139,106.32
Technology,Fayetteville,United States,Trudy Schmidt,26/12/2013,CA-2013-148684,72701,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,South,Consumer,30/12/2013,Standard Class,Arkansas,Accessories,4,6,0,1,172,0.43,2,400,524,399.98
Furniture,Seattle,United States,Joe Elijah,26/12/2013,CA-2013-105081,98115,Global Executive Mid-Back Manager's Chair,West,Consumer,31/12/2013,Standard Class,Washington,Chairs,5,6,0.2,1,52,0.075,3,698,915,698.35
Furniture,Seattle,United States,Joe Elijah,26/12/2013,CA-2013-105081,98115,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",West,Consumer,31/12/2013,Standard Class,Washington,Tables,5,6,0,1,629,0.36,5,1747,2290,1747.25
Furniture,New York City,United States,Darren Budd,26/12/2013,CA-2013-110975,10024,Hon 4070 Series Pagoda Round Back Stacking Chairs,East,Corporate,31/12/2013,Standard Class,New York,Chairs,5,6,0.1,1,173,0.2,3,867,1136,866.65
Furniture,New York City,United States,Darren Budd,26/12/2013,CA-2013-110975,10024,"Bevis Oval Conference Table, Walnut",East,Corporate,31/12/2013,Standard Class,New York,Tables,5,6,0.4,1,-120,-0.383,2,313,410,313.18
Furniture,New York City,United States,Joe Elijah,26/12/2013,CA-2013-169670,10009,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,East,Consumer,1/1/2014,Standard Class,New York,Chairs,6,6,0.1,1,313,0.122,8,2563,3359,2563.06
Furniture,Nashua,United States,Saphhira Shifley,26/12/2013,CA-2013-101168,3060,"Master Big Foot Doorstop, Beige",East,Corporate,2/1/2014,Standard Class,New Hampshire,Furnishings,7,6,0,1,7,0.31,4,21,28,21.12
Furniture,Phoenix,United States,Laurel Workman,26/12/2013,CA-2013-109827,85023,"Global Stack Chair with Arms, Black",West,Corporate,2/1/2014,Standard Class,Arizona,Chairs,7,6,0.2,1,4,0.088,2,48,63,47.97
